id;fecha_atencion;contenido;precio;cita_id
1;2025-12-16T09:17:25;../fake-data/blob/hipster.txt;26301.9;1
2;2025-12-16T09:31:28;../fake-data/blob/hipster.txt;8691.08;2
3;2025-12-16T07:51:54;../fake-data/blob/hipster.txt;13568.45;3
4;2025-12-16T19:25:28;../fake-data/blob/hipster.txt;10964.09;4
5;2025-12-16T13:09:29;../fake-data/blob/hipster.txt;19828.41;5
6;2025-12-16T14:08:09;../fake-data/blob/hipster.txt;20456.43;6
7;2025-12-16T17:07:36;../fake-data/blob/hipster.txt;27986.55;7
8;2025-12-16T08:12:29;../fake-data/blob/hipster.txt;8620.62;8
9;2025-12-16T17:34:48;../fake-data/blob/hipster.txt;19419.63;9
10;2025-12-16T05:42:03;../fake-data/blob/hipster.txt;18841.05;10
